show_id,type,title,director,casts,country,release_year,rating,duration,listed_in,description,Date_added_converted
s3006,"TV SHOW","DREAMWORKS HOW TO TRAIN YOUR DRAGON LEGENDS",NULL,"JAY BARUCHEL, CRAIG FERGUSON, AMERICA FERRERA, GERARD BUTLER","UNITED STATES",2011,TV-PG,"1 Season","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon.",2020-01-20
s3692,"TV SHOW","DREAMWORKS KUNG FU PANDA AWESOME SECRETS",NULL,"JACK BLACK, DUSTIN HOFFMAN, DENNIS HAYSBERT, PAUL SCHEER, RANDALL DUK KIM, DAVID CROSS, JESSICA DICICCO, JAYCEE CHAN, ANGELINA JOLIE, SETH ROGEN, TONY LEONDIS","UNITED STATES",2008,TV-PG,"1 Season","Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",2019-07-01
s2903,"TV SHOW","DREAMWORKS SHREK'S SWAMP STORIES",NULL,"MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ, ANTONIO BANDERAS, KRISTEN SCHAAL, SIMON COWELL, GILLES MARINI, CHARLOTTE NEWHOUSE, DEAN EDWARDS, CODY CAMERON, CHRISTOPHER KNIGHTS, CONRAD VERNON","UNITED STATES",2008,TV-PG,"1 Season","Kids' TV, TV Action & Adventure, TV Comedies","Shrek celebrates Halloween, Puss in Boots is captured by soldiers, and the gang participates in a kingdom-wide singing competition.",2020-02-17
s4479,"TV SHOW","DREAMWORKS SPOOKY STORIES",NULL,"ANTONIO BANDERAS, HUGH LAURIE, MIKE MYERS, REESE WITHERSPOON, SETH ROGEN, KRISTEN SCHAAL, DEAN EDWARDS","UNITED STATES",2009,TV-PG,"1 Season","Kids' TV, TV Comedies","Shrek dares his friends to bring on the scary with ghost stories told in a haunted castle. Later, Ginormica and the Monsters face alien pumpkins.",2018-10-25
s2642,"TV SHOW","DREAMWORKS SPOOKY STORIES: VOLUME 2",NULL,"SETH ROGEN, WILL ARNETT, HUGH LAURIE, WILL FERRELL, DAVID CROSS, SEAN BISHOP, KIEFER SUTHERLAND, CODY CAMERON, ARON WARNER",NULL,2011,TV-PG,"1 Season","Kids' TV, TV Comedies","The Shrek characters parody the music video "Thriller"; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom.",2020-04-24
s570,MOVIE,"DREAMY EYES","VICTOR VU","TRAN NGHIA, TRUC ANH, TRAN PHONG, KHANH VAN, NGUYEN LAM THAO TAM, HUNG VO, PHAM DINH THAI NGAN, LAM BAO DANH, NGUYEN NGOC HUYEN DIEU, TRUONG HOANG HANH THY, MONA BAO TIEN, MAI CAT VI",VIETNAM,2019,TV-14,"117 min","Dramas, International Movies, Romantic Movies","Through heartbreak and betrayal, Ngan's unrequited love for his childhood best friend Hà La endures for a generation in this sweeping romance.",2021-07-01
s6650,MOVIE,DRIES,"REINER HOLZEMER","DRIES VAN NOTEN","GERMANY, BELGIUM",2017,TV-PG,"89 min","Documentaries, International Movies","This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.",2018-01-01
s2599,"TV SHOW","DRIFTING DRAGONS",NULL,"TOMOAKI MAENO, SORA AMAMIYA, SOMA SAITO, KANA HANAZAWA, JUNICHI SUWABE, TOMOKAZU SEKI, TAKAHIRO SAKURAI, KOHSUKE TORIUMI, RIE KUGIMIYA, KENTARO KUMAGAI, MAKOTO FURUKAWA, TAKASHI MATSUYAMA, SHUNSUKE TAKEUCHI, YUTO UEMURA, CHINATSU AKASAKI, JUNYA ENOKI, KAZUHIKO INOUE, HIROO SASAKI",JAPAN,2020,TV-14,"1 Season","Anime Series, International TV Shows","Dragons are on the menu as the crew of the airship Quin Zaza sets out on a hunt. If they fail, empty stomachs will be the least of their worries.",2020-04-30
s3561,MOVIE,"DRINK DRANK DRUNK","YEUNG YAT-TAK","CARLOS CHAN, KEN HUNG, DEEP NG, MICHELLE WAI, YEE TONG, FELIX LOK, KIN-YAN LEE","HONG KONG",2016,TV-MA,"92 min","Comedies, International Movies","Too hungover to report as a witness in a criminal trial the day after his birthday party, a young man and his pals do some unexpected soul-searching.",2019-08-24
s2273,MOVIE,DRISHYAM,"NISHIKANT KAMAT","AJAY DEVGN, SHRIYA SARAN, TABU, RAJAT KAPOOR, ISHITA DUTTA, MRUNAL JADHAV, PRASANNA KETKAR, YOGESH SONAM, PRATHAMESH PARAB, RISHABH CHADDHA",INDIA,2015,TV-14,"162 min","Dramas, International Movies, Thrillers","An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.",2020-07-05
s3335,MOVIE,DRIVE,"TARUN MANSUKHANI","JACQUELINE FERNANDEZ, SUSHANT SINGH RAJPUT, BOMAN IRANI, PANKAJ TRIPATHI, VIKRAMJEET VIRK, SAPNA PABBI, VIBHA CHHIBBER, KAUSTUBH KUMAR",INDIA,2019,TV-14,"119 min","Action & Adventure, International Movies","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",2019-11-01
s6651,MOVIE,"DRIVEN TO DANCE",NULL,"JULIET DOHERTY, KAITLYN BLACK","UNITED STATES",2018,TV-PG,"99 min",Dramas,"A young dancer grapples with her dream to join a famed ballet company against the wishes of her mother, who pushes her to pursue a more practical path.",2019-01-16
s621,"TV SHOW","DROPPIN' CASH: LOS ANGELES",NULL,NULL,"UNITED STATES",2019,TV-MA,"1 Season","Reality TV","This Complex series follows the paper trail of musicians and athletes in Los Angeles as they blow through stacks on the finer things in life.",2021-06-30
s4779,"TV SHOW","DRUG LORDS",NULL,NULL,"UNITED STATES",2018,TV-MA,"2 Seasons","Crime TV Shows, Docuseries","Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",2018-07-10
s3374,"TV SHOW","DRUG SQUAD: COSTA DEL SOL",NULL,"HUGO SILVA, ÁLVARO CERVANTES, MIKI ESPARBÉ, JESÚS CASTRO, SARA SÁLAMO, JORGE USÓN, CAYETANA CABEZAS, PABLO BÉJAR, MARCO CÁCERES, OLIVIA DELCÁN, JORGE SUQUET, DANIEL HOLGUÍN, JOAQUÍN GALLETERO, CAROLINA YUSTE, ANA FERNÁNDEZ",SPAIN,2019,TV-MA,"1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.",2019-10-25
s6652,"TV SHOW","DRUGS, INC.",NULL,"MIKE SECHER","UNITED STATES",2015,TV-MA,"1 Season","Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",2019-03-23
s2116,MOVIE,"DRUNK PARENTS","FRED WOLF","ALEC BALDWIN, SALMA HAYEK, JIM GAFFIGAN, JOE MANGANIELLO, TREAT WILLIAMS, BEN PLATT, AASIF MANDVI, NATALIA CIGLIUTI","UNITED STATES",2019,R,"97 min",Comedies,"Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends.",2020-08-18
s3833,MOVIE,"DRY MARTINA","CHE SANDOVAL","ANTONELLA COSTA, PATRICIO CONTRERAS, GERALDINE NEARY, PEDRO CAMPOS, ÁLVARO ESPINOSA","CHILE, ARGENTINA",2018,TV-MA,"100 min","Dramas, Independent Movies, International Movies","An odd encounter with a fan and a tryst with that fan's ex-boyfriend leads a sexually adventurous singer on an escapade in Chile.",2019-05-11
s1964,MOVIE,"DTC YUKEMURI JUNJO HEN FROM HIGH & LOW","NORIHISA HIRANUMA","KENJIRO YAMASHITA, KANTA SATO, TAIKI SATO, MASAYASU YAGI, KOUSEI AMANO, MIU ARAI, TARO SURUGA, YUKO FUEKI, TOMOKI HIROSE, RYO MATSUDA, MASARU MIZUNO, SHUNSUKE TANAKA, FUMIHIKO TACHIKI, ERI MURAKAWA, KATSUYA KOBAYASHI",JAPAN,2018,TV-PG,"102 min","Dramas, International Movies","Dan, Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort.",2020-09-20
s4795,MOVIE,"DUCK BUTTER","MIGUEL ARTETA","ALIA SHAWKAT, LAIA COSTA, MAE WHITMAN, HONG CHAU, KATE BERLANT, LINDSAY BURDGE, KUMAIL NANJIANI, MARK DUPLASS, JAY DUPLASS, JENNY O'HARA","UNITED STATES",2018,TV-MA,"94 min","Dramas, Independent Movies, LGBTQ Movies","Wary of dishonesty in relationships, two young women embark on a 24-hour experiment on intimacy, but their romance flounders as the clock winds down.",2018-07-01
s4761,MOVIE,"DUCK DUCK GOOSE","CHRIS JENKINS","JIM GAFFIGAN, ZENDAYA, LANCE LIM, GREG PROOPS, REGGIE WATTS, CARL REINER, JENNIFER GREY, STEPHEN FRY, DIEDRICH BADER, NATASHA LEGGERO, CRAIG FERGUSON, RICK OVERTON","CHINA, UNITED STATES, UNITED KINGDOM",2018,PG,"92 min","Children & Family Movies, Comedies","As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.",2018-07-20
s4921,MOVIE,DUDE,"OLIVIA MILCH","LUCY HALE, KATHRYN PRESCOTT, ALEXANDRA SHIPP, AWKWAFINA, ALEX WOLFF, BROOKE SMITH, JERRY MACKINNON, RONEN RUBENSTEIN, SATYA BHABHA, SYDNEY LUCAS","UNITED STATES",2018,TV-MA,"97 min","Comedies, Dramas, Independent Movies","Four best friends navigate loss and major life changes – and smoke a lot of weed – during their last two weeks of high school.",2018-04-20
s931,MOVIE,"DUE DATE","TODD PHILLIPS","ROBERT DOWNEY JR., ZACH GALIFIANAKIS, MICHELLE MONAGHAN, JAMIE FOXX, JULIETTE LEWIS, DANNY MCBRIDE, RZA, MATT WALSH","UNITED STATES",2010,R,"95 min","Action & Adventure, Comedies","Days before his pregnant wife's due date, Peter lands on the "no-fly" list, forcing him to drive across the country with an irritating slacker.",2021-05-01
s6653,"TV SHOW","DUEÑOS DEL PARAÍSO",NULL,"KATE DEL CASTILLO, JORGE ZABALETA, JOSÉ MARÍA TORRE, TONY DALTON, GÉRALDINE BAZÁN, XIMENA DUQUE, ADRIANA BARRAZA, JUAN PABLO LLANO, DANIELA WONG, TIAGO CORREA, MARGARITA MUÑOZ, MIGUEL VARONI, ARIEL TEXIDO, MARÍA LUISA FLORES, ALBERTO JIMÉNEZ, ANDREA LÓPEZ, MAXI IGLESIAS, JORGE HERNÁNDEZ, ALBERTO MATEO, SOFÍA LAMA","UNITED STATES, CHILE",2015,TV-14,"1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal.",2017-02-25
s980,MOVIE,"DÜĞÜN DERNEK","SELÇUK AYDEMIR, BIRKAN PUSA","AHMET KURAL, MURAT CEMCIR, RASIM ÖZTEKIN, DEVRIM YAKUT, BARIŞ YILDIZ, İNAN ULAŞ TORUN, ZERRIN SÜMER, ŞINASI YURTSEVER",TURKEY,2013,TV-MA,"102 min","Comedies, International Movies","On the first day of Ramadan, Ismail joins friends on a road trip to a mosque and encounters his son, who, to Ismail's chagrin, plans a hasty wedding.",2021-04-23
s981,MOVIE,"DÜGÜN DERNEK 2: SÜNNET","SELÇUK AYDEMIR","AHMET KURAL, MURAT CEMCIR, RASIM ÖZTEKIN, DEVRIM YAKUT, BARIŞ YILDIZ, İNAN ULAŞ TORUN, ŞINASI YURTSEVER, ERDAL TOSUN",TURKEY,2015,TV-MA,"107 min","Comedies, International Movies","Ismail and his old screwball crew land themselves in hot water when his grandson's circumcision evolves into a buzz-making citywide event.",2021-04-23
s6654,MOVIE,DUKHTAR,"AFIA NATHANIEL","SAMIYA MUMTAZ, MOHIB MIRZA, SALEHA AREF, ASIF KHAN, ADNAN SHAH, AJAB GUL, ABDULLAH JAN, SAMINA AHMAD, OMAIR RANA, ZEESHAN SHAFA","PAKISTAN, NORWAY, UNITED STATES",2014,TV-14,"93 min","Dramas, Independent Movies, International Movies","A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.",2016-09-01
s6655,MOVIE,DUM,"EESHWAR NIVAS","VIVEK OBEROI, DIYA MIRZA, ATUL KULKARNI, GOVIND NAMDEO, MUKESH RISHI, SUSHANT SINGH, YASHPAL SHARMA, SHEEBA",INDIA,2003,TV-14,"162 min","Action & Adventure, Dramas, International Movies","When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",2018-03-01
s6656,MOVIE,"DUMB AND DUMBERER: WHEN HARRY MET LLOYD","TROY MILLER","ERIC CHRISTIAN OLSEN, DEREK RICHARDSON, RACHEL NICHOLS, CHERI OTERI, LUIS GUZMÁN, ELDEN HENSON, WILLIAM LEE SCOTT, MIMI ROGERS, EUGENE LEVY","UNITED STATES",2003,PG-13,"85 min",Comedies,"This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.",2019-10-01
s4318,MOVIE,DUMPLIN',"ANNE FLETCHER","DANIELLE MACDONALD, JENNIFER ANISTON, ODEYA RUSH, MADDIE BAILLIO, BEX TAYLOR-KLAUS, LUKE BENWARD, GEORGIE FLORES, DOVE CAMERON, HAROLD PERRINEAU, KATHY NAJIMY, GINGER MINJ, HILLIARY BEGLEY","UNITED STATES",2018,PG-13,"110 min","Comedies, Dramas, Independent Movies","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.",2018-12-07
s2722,MOVIE,DUNIYA,"RAMESH TALWAR","DILIP KUMAR, RISHI KAPOOR, PRAN, AMRITA SINGH, ASHOK KUMAR, PREM CHOPRA, AMRISH PURI, SATYEN KAPPU, MAC MOHAN, JAVED KHAN",INDIA,1984,TV-14,"170 min","Action & Adventure, Dramas, International Movies","A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against.",2020-04-01
s2723,MOVIE,DUPLICATE,"MAHESH BHATT","SHAH RUKH KHAN, JUHI CHAWLA, SONALI BENDRE, FARIDA JALAL, MOHNISH BAHL, TIKU TALSANIA, GULSHAN GROVER, SHARAT SAXENA",INDIA,1998,TV-14,"165 min","Comedies, Dramas, International Movies","Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgänger, a perky chef.",2020-04-01
s1041,"TV SHOW",DURARARA!!,NULL,"TOSHIYUKI TOYONAGA, MIYUKI SAWASHIRO, MAMORU MIYANO, KANA HANAZAWA, HIROSHI KAMIYA, DAISUKE ONO, JUN FUKUYAMA, YUICHI NAKAMURA, YUKI KAJI, AYAHI TAKAGAKI, KAZUMA HORIE, SANAE KOBAYASHI, TAKAYA KURODA, KARI WAHLGREN, DARREL GUILBEAU, BRYCE PAPENBROOK, MICHELLE RUFF, JOHNNY YONG BOSCH, CRISPIN FREEMAN, YURI LOWENTHAL, STEVE BLUM",JAPAN,2016,TV-MA,"1 Season","Anime Series, Crime TV Shows, International TV Shows","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.",2021-04-15
s4565,MOVIE,DUSHMAN,"SHAGUFTA RAFIQUE","KARTAR CHEEMA, JASHAN SINGH, SAKSHI GULATI, GULSHAN GROVER, SAVITA BHATTI, YASHPAL SHARMA, MOHIT SHARMA, SUKHWINDER SOHI",NULL,2017,TV-14,"141 min","Dramas, International Movies","An Indian hotel waiter forms an unlikely bond with a Pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.",2018-10-01
s3812,MOVIE,"DYING TO TELL","HERNÁN ZIN",NULL,SPAIN,2018,TV-MA,"88 min","Documentaries, International Movies","Seeking answers after a life-changing incident in 2012, filmmaker Hernán Zin interviews other war reporters about the personal toll of their work.",2019-05-17
s2474,"TV SHOW",DYNASTY,NULL,"ELIZABETH GILLIES, NATHALIE KELLEY, GRANT SHOW, JAMES MACKAY, RAFAEL DE LA FUENTE, ALAN DALE, SAM ADEGOKE, ROBERT CHRISTOPHER RILEY","UNITED STATES",2019,TV-14,"3 Seasons","TV Dramas","The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.",2020-05-23
s571,MOVIE,"DYNASTY WARRIORS","CHOW HIN YEUNG ROY","WANG KAI, LOUIS KOO, HAN GENG, TONY YANG, CARINA LAU, NAZHA, LAM SUET, JUSTIN CHEUNG, RAY LUI, YUAN WENKANG",NULL,2021,TV-14,"118 min","Action & Adventure, International Movies","Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the "Romance of the Three Kingdoms."",2021-07-01
s6657,MOVIE,"E-CIGARETTES: MIRACLE OR MENACE?","EMMA HATHERLEY","MICHAEL MOSLEY","UNITED KINGDOM",2016,TV-14,"52 min",Documentaries,"This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.",2019-02-01
s5927,MOVIE,E-TEAM,"KATY CHEVIGNY, ROSS KAUFFMAN",NULL,"UNITED STATES",2014,TV-MA,"90 min",Documentaries,"The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.",2014-10-24
s2669,MOVIE,"EARTH AND BLOOD","JULIEN LECLERCQ","SAMI BOUAJILA, ERIQ EBOUANEY, SAMY SEGHIR, SOFIA LESAFFRE","FRANCE, BELGIUM",2020,TV-MA,"81 min","Dramas, International Movies, Thrillers","A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.",2020-04-17
s6658,MOVIE,"EARTH TO ECHO","DAVE GREEN","TEO HALM, ASTRO, REESE HARTWIG, ELLA WAHLESTEDT, JASON GRAY-STANFORD, ALGEE SMITH, CASSIUS WILLIS, SONYA LESLIE, KERRY O'MALLEY, VIRGINIA LOUISE SMITH, PETER MACKENZIE, VALERIE WILDMAN","UNITED STATES",2014,PG,"91 min","Children & Family Movies, Sci-Fi & Fantasy","When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones.",2019-10-01
s6659,"TV SHOW","EARTH TO LUNA!",NULL,"ANGELINA CARBALLO, RAUL-GOMEZ PINA, ERIC ANDERSON",BRAZIL,2014,TV-Y,"1 Season","Kids' TV","Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world.",2020-04-10
s6660,"TV SHOW","EARTH'S NATURAL WONDERS",NULL,"OLIVIA COLMAN","UNITED KINGDOM",2015,TV-PG,"1 Season","British TV Shows, Docuseries, Science & Nature TV","Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.",2017-03-01
s6661,"TV SHOW","EARTH'S NATURAL WONDERS: LIFE AT THE EXTREMES",NULL,"COREY JOHNSON",NULL,2018,TV-14,"1 Season","British TV Shows, Docuseries, Science & Nature TV","From the Arctic to the Outback, humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.",2018-10-01
s3265,MOVIE,"EARTHQUAKE BIRD","WASH WESTMORELAND","ALICIA VIKANDER, RILEY KEOUGH, NAOKI KOBAYASHI, JACK HUSTON, KIKI SUKEZANE, YOSHIKO SAKUMA, KEN YAMAMURA, KAZUHIRO MUROYAMA, AKIKO IWASE, CRYSTAL KAY","UNITED KINGDOM, JAPAN, UNITED STATES",2019,R,"107 min","Dramas, Romantic Movies","In 1980s Tokyo, an enigmatic expat is suspected of killing her friend, who's gone missing in the wake of their love triangle with a local photographer.",2019-11-15
s6662,MOVIE,"EAST SIDE SUSHI","ANTHONY LUCERO","DIANA ELIZABETH TORRES, YUTAKA TAKEUCHI, RODRIGO DUARTE CLARK, KAYA JADE AGUIRRE, ROJI OYAMA, LANE NISHIKAWA, MIYOKO SAKATANI","UNITED STATES",2015,PG,"106 min",Dramas,"She’s not the usual candidate for the role, but a dogged Mexican-American mother makes it her mission to become a talented sushi chef.",2020-09-15
s3193,"TV SHOW",EASTSIDERS,NULL,"KIT WILLIAMSON, VAN HANSIS, CONSTANCE WU, MATTHEW MCKELLIGON, JOHN HALBACH, STEPHEN GUARINO","UNITED STATES",2018,TV-MA,"4 Seasons","TV Comedies, TV Dramas","Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.",2019-12-01
s3836,"TV SHOW",EASY,NULL,"AUBREY PLAZA, JUDY GREER, JANE ADAMS, ZAZIE BEETZ, KATE BERLANT, AYA CASH, MICHAEL CHERNUS, KIERSEY CLEMONS, ORLANDO BLOOM, MALIN AKERMAN, MARC MARON, DAVE FRANCO, HANNIBAL BURESS, JAKE JOHNSON, EMILY RATAJKOWSKI, ANDREW BACHELOR","UNITED STATES",2019,TV-MA,"3 Seasons","TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture.",2019-05-10
s6663,MOVIE,"EASY A","WILL GLUCK","EMMA STONE, PENN BADGLEY, AMANDA BYNES, DAN BYRD, THOMAS HADEN CHURCH, PATRICIA CLARKSON, CAM GIGANDET, LISA KUDROW, MALCOLM MCDOWELL, ALY MICHALKA","UNITED STATES",2010,PG-13,"92 min","Comedies, Romantic Movies","When a lie about Olive's reputation transforms her from anonymous to infamous at her high school, she decides to embrace a provocative new persona.",2020-11-01
s6664,"TV SHOW","EASY FORTUNE HAPPY LIFE",NULL,"LAN CHENG-LUNG, JOE CHEN, ROY CHIU, JOCELYN WANG, CHIEH-KAI SHIOU, TING CHIANG, WANG CHUAN",TAIWAN,2009,TV-MA,"1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",2016-09-01
s6665,MOVIE,"EAT PRAY LOVE","RYAN MURPHY","JULIA ROBERTS, JAMES FRANCO, JAVIER BARDEM, RICHARD JENKINS, VIOLA DAVIS, BILLY CRUDUP, HADI SUBIYANTO, MIKE O'MALLEY, TUVA NOVOTNY, LUCA ARGENTERO","UNITED STATES",2010,PG-13,"140 min","Dramas, Romantic Movies","After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",2019-09-10
s4189,MOVIE,ECHCHARIKKAI,SARJUN,"SATHYARAJ, VARALAKSHMI SARATHKUMAR, KISHORE KUMAR G., VIVEK RAJGOPAL, JAYAKUMAR, YOGI BABU, SOUNDAR, L. ALICE",INDIA,2018,TV-14,"127 min","International Movies, Thrillers","After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.",2019-01-15
s3384,MOVIE,"ECHO IN THE CANYON","ANDREW SLATER","JAKOB DYLAN, RINGO STARR, MICHELLE PHILLIPS, STEPHEN STILLS, REGINA SPEKTOR, BECK, ERIC CLAPTON, TOM PETTY, JACKSON BROWNE, NORAH JONES","UNITED STATES",2019,PG-13,"82 min","Documentaries, Music & Musicals","An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians.",2019-10-24
s5667,MOVIE,"EDDIE - STRONGMAN","MATT BELL","EDDIE HALL","UNITED KINGDOM",2015,TV-MA,"98 min","Documentaries, Sports Movies","British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.",2016-12-15
s6666,MOVIE,"EDDIE MURPHY: DELIRIOUS","BRUCE GOWERS","EDDIE MURPHY","UNITED STATES",1983,TV-MA,"69 min","Stand-Up Comedy","Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",2018-04-15
s1451,MOVIE,"EDDIE MURPHY: RAW","ROBERT TOWNSEND","EDDIE MURPHY","UNITED STATES",1987,R,"90 min","Stand-Up Comedy","This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.",2021-01-01
s836,"TV SHOW",EDEN,NULL,"MARIKA KONO, KENTARO ITO, KYOKO HIKAMI, TARUSUKE SHINGAKI, KOICHI YAMADERA, YUUKI KUWAHARA, YUHKO KAIDA, RUBY ROSE TURNER, DAVID TENNANT, ROSARIO DAWSON, JP KARLIAK, NEIL PATRICK HARRIS, CASSANDRA LEE MORRIS, JULIE NATHANSON",NULL,2021,TV-PG,"1 Season","Anime Series, International TV Shows","A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.",2021-05-27
s220,"TV SHOW","EDENS ZERO",NULL,"TAKUMA TERASHIMA, MIKAKO KOMATSU, RIE KUGIMIYA, HIROMICHI TEZUKA, SHIORI IZAWA, SHIKI AOKI, SAYAKA OHARA, HOCHU OTSUKA, KIKUKO INOUE",JAPAN,2021,TV-14,"1 Season","Anime Series, International TV Shows","Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.",2021-08-26
s4512,"TV SHOW","EDGAR RICE BURROUGHS' TARZAN AND JANE",NULL,"MARCI T. HOUSE, MICHAEL DOBSON, OMARI NEWTON, PAUL DOBSON, REBECCA SHOICHET, GILES PANTON, KATHLEEN BARR, DORON BELL",NULL,2018,TV-Y7,"2 Seasons","Crime TV Shows, Kids' TV","Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.",2018-10-12
s4435,MOVIE,"EDGE OF FEAR","BOBBY ROTH","SHEN LIN, ROBERT PATRICK, ZHU ZHU, JODI LYN O'KEEFE, ROBERT KNEPPER, AMAURY NOLASCO, ROCKMOND DUNBAR, ANDY MACKENZIE, ROBERT CRAYTON, JOHN EDWARD LEE, TRENT BRYA","UNITED STATES",2018,TV-MA,"92 min","Independent Movies, Thrillers","During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her.",2018-11-01
s2091,MOVIE,"EDGE OF SEVENTEEN","DAVID MORETON","CHRIS STAFFORD, TINA HOLMES, ANDERSEN GABRYCH, STEPHANIE MCVAY, LEA DELARIA, JOHN EBY, ANTONIO CARRIERO, JASON LOCKHART","UNITED STATES",1998,TV-MA,"103 min","Comedies, Dramas, Independent Movies","A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.",2020-08-27
s5824,"TV SHOW","EDGE OF THE UNIVERSE",NULL,NULL,"UNITED KINGDOM",2008,TV-G,"1 Season","British TV Shows, Docuseries, Science & Nature TV","Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.",2016-08-01
s4979,"TV SHOW",EDHA,NULL,"JUANA VIALE, ANDRÉS VELENCOSO, DELFINA CHAVES, OSMAR NUÑEZ, GERMÁN PALACIOS, JUAN PABLO GERETTO, SOFÍA GALA, DANIEL PACHECO, DANIEL HENDLER, FLAVIO MENDOZA",ARGENTINA,2018,TV-MA,"1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",2018-03-16
s4436,MOVIE,"EDMILSON FILHO: NOTAS, COMEDY ABOUT RELATIONSHIPS","HALDER GOMES","EDMILSON FILHO",BRAZIL,2017,TV-MA,"80 min","Stand-Up Comedy","Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",2018-11-01
s4005,MOVIE,"EDOARDO FERRARIO: TEMI CALDI","FRANCESCO IMPERATO","EDOARDO FERRARIO",ITALY,2019,TV-MA,"65 min","Stand-Up Comedy","Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.",2019-03-15
